"e
c
a
lP","m
u
N
r
a
C","m
a
e
T","e de
gem
a r et s uit
p
vjda
AAL","d
e
st
e
p alp
Lm
o
C","d
e
s
U)
r
let
l(
u
F","d)
eg
tk
s(
u 2
jdO
AC","p
e g d e ua L
a r t s r e
e p
vjd
2
AAO
C","e
p
y
T
le
u
F","y
lec n er o
t
u Ficc
a
ifF
f
E","y
c
le u Fn e ice r o
c
ifS
f
E"
41,60,Univ of Illinois - Chicago,183.678,10,4.654,10.750,1.0750,93,0.370,19.0
42,99,Univ of North Florida,171.660,9,4.524,10.450,1.1611,93,0.366,18.3
43,22,Sacramento State Univ,176.123,10,5.356,12.372,1.2372,93,0.335,12.2
44,44,Univ of Texas - Dallas,175.074,10,5.606,12.949,1.2949,93,0.322,9.6
45,108,Lawrence Technological Univ,188.684,10,7.889,13.016,1.3016,E85,0.297,4.8
,114,Lehigh Univ,212.042,10,3.334,5.501,0.5501,E85,,-
,125,Northern Arizona Univ,226.447,10,3.287,7.592,0.6902,93,,-
,73,Univ of Puerto Rico-Mayaquez,217.049,10,3.074,7.100,0.7100,93,,-
,47,Univ of Kentucky,203.452,10,3.715,8.581,0.8581,93,,-
,58,Syracuse Univ,206.621,10,4.304,9.942,0.9942,100,,-
,72,Univ of Delaware,237.065,10,4.464,10.311,1.0311,93,,-
,46,York College of Pennsylvania,220.334,10,4.533,10.471,1.0471,93,,-
,131,Univ of Ottawa,210.329,10,4.987,11.519,1.0472,93,,-
,104,Washington Univ - St Louis,215.332,10,5.846,13.504,1.3504,100,,-
,17,Florida Atlantic Univ,204.326,9,5.465,12.624,1.4027,100,,-
,20,Univ of Victoria,194.414,7,4.421,10.212,1.4589,93,,-
,42,Univ of Oklahoma,175.488,6,3.908,9.027,1.5045,100,,-
