Unnamed: 0,Unnamed: 1,Unnamed: 2,Run #1,Unnamed: 4,Unnamed: 5,Unnamed: 6,Run #2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Run #3,Unnamed: 12,Unnamed: 13,Unnamed: 14,Run #4,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Place,CarNum,Team,Time,Cones,OffCourse,AdjTime,Time,Cones,OffCourse,AdjTime,Time,Cones,OffCourse,AdjTime,Time,Cones,OffCourse,AdjTime,BestTime,Penalty,Score
71 T,93,South Dakota State Univ,68.441,,1,88.441,67.081,2,,71.081,79.639,,1,99.639,68.467,,,68.467,68.467,,6.5
71 T,114,Lehigh Univ,82.169,,1,102.169,117.282,2,,121.282,67.864,,1,87.864,69.257,,,69.257,69.257,,6.5
71 T,36,Colorado State University,74.402,,1,94.402,71.800,1,,73.800,,,,DNA,,,,DNA,73.800,,6.5
71 T,15,Tennessee Tech Univ,,,,DNF,138.308,,,138.308,72.464,1,,74.464,106.926,,,106.926,74.464,,6.5
71 T,120,Oregon Inst of Tech,81.880,,,81.880,,,,DNA,,,,DNA,,,,DNA,81.880,,6.5
71 T,89,Southern Illinois Univ - Carbondale,61.871,1,1,83.871,,,,DNF,,,,DNA,,,,DNA,83.871,,6.5
71 T,90,Texas Tech Univ,84.948,,,84.948,,,,DNF,,,,DNA,,,,DNA,84.948,,6.5
71 T,78,Univ of the Pacific,69.459,,1,89.459,72.643,,1,92.643,,,,DNA,,,,DNA,89.459,,6.5
71 T,116,Saginaw Valley State Univ,60.211,,2,100.211,,1,,DNF,,,,DNA,,,,DNA,100.211,,6.5
71 T,58,Syracuse Univ,61.043,,3,121.043,62.670,,3,122.670,,,,DNA,,,,DNA,121.043,,6.5
,7,Georgia Institute of Technology,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,19,Purdue Univ - Northwest,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,31,Liberty Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,34,Colorado Mesa University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,37,Univ of Arizona,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,41,Univ of Houston - Houston,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,43,Universidad Panamericana Sede Guadalajar,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,48,Univ of Central Florida,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,50,Missouri State University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,51,ITESM - Campus Cuernavaca,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,52,California State Univ - Chico,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,54,Instituto Tecnologico de Chihuahua,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,56,Iowa State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,59,Univ of Calif - Irvine,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,61,Wayne State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,62,Washington State Univ,,,1,DNF,,,,DNA,,,,DNA,,,,DNA,DNA,,
,64,West Virginia Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,69,Bradley Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,72,Univ of Delaware,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,74,Drexel Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,79,Univ of Texas - San Antonio,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,82,Western Michigan Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,84,Univ of British Columbia,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,88,UP Aguascalientes,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,97,Univ of Massachusetts - Lowell,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
